File Name,Risk Reward 2014-2019,Risk Reward 2019-2023,Market Cap 2019
EZA_15.csv,-17271.23790125708,298.48155807343477,402320.0
CSWC_15.csv,-4529.1726113810855,53.65701349523165,340179.42
HTGC_15.csv,-3730.4413222285903,38.254515633857906,1086300.36
RVT_15.csv,-3400.0998833623707,54.412228338212806,998127.08
EMF_15.csv,-2628.363941334458,1922.6710430211622,241056.0
FBIZ_15.csv,-2555.7802837159943,28.640104449976732,175260.75
MUFG_15.csv,-2396.727318889429,29.192217630957256,1367586.08
SLX_15.csv,-2297.8076112239023,26.30319836840153,116424.0
SPEU_15.csv,-2289.926344706306,40.94090993542154,165223.5
SPYG_15.csv,-2233.2534896030293,22.366323882816047,3126909.0
KSM_15.csv,-2160.2446368711408,-111.12074768469036,118650.36
DEM_15.csv,-1910.6784328269498,136.21337140584083,1976856.0
PID_15.csv,-1846.2192144647722,44.74799533500391,686154.0
RWX_15.csv,-1414.7220201552702,-96.32528920989627,2209986.9000000004
JHI_15.csv,-1028.5045534013693,3192.152983790747,125903.22
RWT_15.csv,-978.1097123865939,169.08051838233598,1261068.0
TURN_15.csv,-936.6160959178545,-18.73068261526222,56019.6
HYB_15.csv,-730.0275669877389,732.2808938368685,177370.71
BNS_15.csv,-681.8470460809493,137.2836616090267,61708797.11
FGD_15.csv,-637.9428649253678,123.42748750710338,437000.0
DBB_15.csv,-572.2655608939065,57.9650239366072,156936.0
SHEL_15.csv,-570.2830507217358,62.63728803064619,28368555.12
CHY_15.csv,-537.1203386479323,55.24991406101222,702355.2
AWP_15.csv,-519.0519719254918,-569.7707887655345,427040.0
HQH_15.csv,-488.2169056594685,342.0058960692206,776352.24
FFIN_15.csv,-466.55207905889273,-224.6153868195173,3901184.3
IGA_15.csv,-446.44191957645717,700.9549355520332,170968.7
BHB_15.csv,-436.089506367326,46.35801703758176,356885.10000000003
OZK_15.csv,-407.547582413296,27.58919720804579,2983775.1999999997
PIM_15.csv,-407.0340971884026,-54.33451595448909,229566.48
BLX_15.csv,-377.0706524234309,41.567782117246274,535452.3
BLW_15.csv,-368.63204136010154,110.18491660114809,500947.08
IXP_15.csv,-347.72999590637863,33.311877567237275,222596.00000000003
KIE_15.csv,-325.47315622917193,32.15189822882935,660582.0
MVV_15.csv,-306.13249895366795,30.887330680126514,95567.5
RYN_15.csv,-302.14861363092075,56.41544923320412,3543539.16
KTF_15.csv,-300.47822629098675,-120.51990636852118,416735.55000000005
AIVI_15.csv,-284.0721414409948,96.21725723793254,158245.91999999998
JCE_15.csv,-265.8263645416497,69.61377771696266,193065.1
IDV_15.csv,-246.9456257982381,183.27410175167037,3856376.0
DTH_15.csv,-241.56480860893495,107.57214361497421,251260.00000000003
EXG_15.csv,-239.84537094761828,105.69790333580497,2318676.48
XME_15.csv,-232.01076493295304,24.90457794291488,479700.0
IOO_15.csv,-224.06913459132602,21.67110659604763,1708260.0
EFV_15.csv,-223.3733125373852,65.84196286142851,5734176.0
JEF_15.csv,-222.15909505689888,24.798279593700034,5718392.1
